date,close,open,high,low,volume
2019-10-1,1.740,1.719,1.740,1.719,473950
2019-10-2,1.705,1.723,1.722,1.706,484720
2019-10-3,1.718,1.712,1.718,1.710,329770
2019-10-4,1.719,1.717,1.719,1.715,286900
2019-10-7,1.746,1.722,1.746,1.720,347490
2019-10-8,1.752,1.742,1.752,1.739,432340
2019-10-9,1.744,1.740,1.746,1.738,414940
2019-10-10,1.753,1.747,1.753,1.743,552560
2019-10-11,1.722,1.727,1.727,1.722,617820
2019-10-14,1.720,1.715,1.720,1.715,417470
2019-10-15,1.728,1.715,1.728,1.714,284230
2019-10-16,1.728,1.716,1.728,1.715,293720
2019-10-17,1.727,1.729,1.730,1.727,183130
2019-10-18,1.738,1.735,1.739,1.731,142680
2019-10-21,1.729,1.745,1.741,1.729,153920
2019-10-22,1.719,1.717,1.725,1.717,119890
2019-10-23,1.730,1.717,1.730,1.717,140070
2019-10-24,1.724,1.725,1.725,1.724,130240
2019-10-25,1.728,1.724,1.729,1.720,215820
2019-10-28,1.737,1.737,1.736,1.732,180310
2019-10-29,1.754,1.742,1.754,1.742,203370
2019-10-30,1.760,1.751,1.760,1.751,220050
2019-10-31,1.755,1.750,1.755,1.741,263070
2019-11-1,1.786,1.762,1.787,1.762,269740
2019-11-4,1.815,1.784,1.815,1.782,338470
2019-11-5,1.811,1.815,1.816,1.811,380830
2019-11-6,1.810,1.810,1.810,1.804,324870
2019-11-7,1.813,1.812,1.816,1.808,327530
2019-11-8,1.808,1.821,1.820,1.806,214850
2019-11-11,1.779,1.805,1.805,1.779,236340
2019-11-12,1.778,1.768,1.778,1.768,297180
2019-11-13,1.765,1.770,1.768,1.766,308690
2019-11-14,1.741,1.759,1.758,1.741,316130
2019-11-15,1.755,1.743,1.755,1.743,374790
2019-11-18,1.738,1.746,1.745,1.738,385280
2019-11-19,1.731,1.734,1.733,1.731,267390
2019-11-20,1.741,1.741,1.740,1.738,186320
2019-11-21,1.734,1.745,1.739,1.735,191720
2019-11-22,1.739,1.738,1.740,1.737,185150
2019-11-25,1.736,1.740,1.738,1.736,156810
2019-11-26,1.753,1.743,1.752,1.743,206030
2019-11-27,1.764,1.761,1.765,1.761,205070
2019-11-28,1.752,1.758,1.756,1.752,134590
2019-11-29,1.770,1.758,1.770,1.758,230240
2019-12-2,1.790,1.765,1.790,1.765,254150
2019-12-3,1.766,1.790,1.790,1.767,330180
2019-12-4,1.758,1.764,1.763,1.757,241720
2019-12-5,1.747,1.749,1.751,1.747,235730
2019-12-6,1.765,1.742,1.765,1.741,318490
2019-12-9,1.757,1.762,1.764,1.757,278870
2019-12-10,1.755,1.755,1.756,1.753,286860
2019-12-11,1.760,1.758,1.762,1.758,279790
2019-12-12,1.775,1.767,1.775,1.767,315170
2019-12-13,1.768,1.778,1.778,1.767,210290
2019-12-16,1.778,1.775,1.782,1.771,363450
2019-12-17,1.764,1.770,1.767,1.764,298040
2019-12-18,1.777,1.774,1.778,1.774,726930
2019-12-19,1.797,1.790,1.797,1.788,272880
2019-12-20,1.800,1.804,1.804,1.797,221700
2019-12-23,1.804,1.805,1.805,1.802,172250
2019-12-24,1.814,1.817,1.818,1.812,169820
2019-12-27,1.825,1.819,1.825,1.817,181720
