date,close,open,high,low,volume
2019-10-1,17.220,17.250,17.325,17.195,239750
2019-10-2,17.485,17.525,17.505,17.485,187440
2019-10-3,17.625,17.630,17.630,17.610,117020
2019-10-4,17.790,17.825,17.790,17.750,82760
2019-10-7,17.725,17.800,17.800,17.750,135320
2019-10-8,17.570,17.525,17.570,17.425,184830
2019-10-9,17.360,17.600,17.575,17.360,221890
2019-10-10,17.625,17.660,17.620,17.590,221640
2019-10-11,17.550,17.700,17.700,17.550,276580
2019-10-14,16.550,17.230,17.300,16.550,239780
2019-10-15,16.995,16.940,16.995,16.877,133040
2019-10-16,16.450,16.950,16.930,16.455,115820
2019-10-17,16.270,16.250,16.325,16.250,99180
2019-10-18,16.230,16.375,16.325,16.225,85650
2019-10-21,16.100,16.200,16.195,16.100,135540
2019-10-22,16.500,16.050,16.525,16.040,172720
2019-10-23,16.590,16.450,16.590,16.400,91480
2019-10-24,16.860,16.975,16.930,16.850,85290
2019-10-25,16.775,16.885,16.880,16.775,64180
2019-10-28,16.640,16.750,16.675,16.650,115490
2019-10-29,16.830,16.700,16.830,16.680,113200
2019-10-30,16.780,16.875,16.875,16.780,79020
2019-10-31,16.645,16.800,16.775,16.550,96530
2019-11-1,16.775,16.800,16.770,16.710,70340
2019-11-4,16.380,16.600,16.555,16.375,78890
2019-11-5,16.280,16.300,16.280,16.200,122530
2019-11-6,16.245,16.350,16.325,16.150,102450
2019-11-7,16.200,16.305,16.285,16.200,114060
2019-11-8,16.190,16.125,16.190,16.025,93040
2019-11-11,15.565,15.770,15.760,15.565,126590
2019-11-12,15.660,15.500,15.660,15.475,100130
2019-11-13,15.380,15.525,15.515,15.380,83150
2019-11-14,15.150,15.410,15.355,15.089,76460
2019-11-15,14.975,15.075,15.000,14.975,79100
2019-11-18,14.845,14.785,14.850,14.725,144580
2019-11-19,14.690,14.480,14.680,14.480,104580
2019-11-20,14.360,14.375,14.400,14.360,91280
2019-11-21,14.485,14.500,14.495,14.435,73300
2019-11-22,14.635,14.450,14.630,14.450,64950
2019-11-25,14.480,14.650,14.565,14.480,59360
2019-11-26,14.595,14.450,14.595,14.425,68610
2019-11-27,14.380,14.500,14.475,14.375,68510
2019-11-28,14.010,14.100,14.080,14.015,73380
2019-11-29,13.670,13.863,13.910,13.670,70170
2019-12-2,13.715,13.724,13.775,13.655,91640
2019-12-3,13.375,13.650,13.620,13.375,103720
2019-12-4,13.120,13.285,13.280,13.120,102930
2019-12-5,13.275,13.200,13.350,13.200,118230
2019-12-6,13.475,13.475,13.525,13.450,130080
2019-12-9,13.340,13.250,13.340,13.250,128310
2019-12-10,13.405,13.150,13.500,13.090,148150
2019-12-11,13.850,13.650,13.850,13.640,139960
2019-12-12,14.100,13.845,14.095,13.845,140810
2019-12-13,14.170,14.200,14.195,14.150,134520
2019-12-16,14.200,14.200,14.225,14.135,119820
2019-12-17,13.960,14.200,14.180,13.960,127560
2019-12-18,13.870,13.900,13.900,13.870,66950
2019-12-19,14.170,14.140,14.200,14.090,83370
2019-12-20,14.525,14.300,14.500,14.265,80390
2019-12-23,14.350,14.500,14.460,14.350,54890
2019-12-24,14.340,14.375,14.340,14.250,47970
2019-12-27,14.210,14.125,14.215,14.050,56150
2019-12-30,14.315,14.300,14.315,14.235,71530
2019-12-31,14.025,14.150,14.075,14.000,68860
2020-1-2,14.260,14.185,14.260,14.165,75600
2020-1-3,13.755,13.790,13.850,13.760,84310
2020-1-6,13.820,13.900,13.820,13.775,83010
2020-1-7,13.935,13.950,13.935,13.900,88970
2020-1-8,14.050,13.950,14.075,13.900,107550
2020-1-9,14.085,14.240,14.200,14.090,88700
2020-1-10,14.190,14.180,14.225,14.130,77970
2020-1-13,14.095,14.300,14.275,14.100,133360
2020-1-14,13.870,13.825,13.860,13.770,103570
2020-1-15,14.320,14.050,14.325,14.050,85390
2020-1-16,13.775,14.400,14.360,13.780,94100
2020-1-17,13.910,13.950,13.910,13.910,49000
2020-1-20,14.020,13.950,14.125,13.920,48870
2020-1-21,13.665,13.850,13.835,13.665,58810
2020-1-22,13.640,13.750,13.730,13.620,69360
2020-1-23,13.350,13.380,13.375,13.350,60900
2020-1-24,12.950,13.040,13.060,12.950,103130
2020-1-27,12.615,12.800,12.875,12.610,56390
2020-1-28,12.550,12.830,12.820,12.555,73900
2020-1-29,12.550,12.750,12.710,12.550,63760
2020-1-30,12.620,12.700,12.675,12.565,63580
2020-1-31,12.850,12.804,12.850,12.650,70470
2020-2-3,12.725,12.875,12.835,12.725,66810
2020-2-4,12.830,13.050,12.875,12.830,98010
2020-2-5,13.160,13.125,13.180,13.075,100880
2020-2-6,13.060,13.150,13.075,13.065,69950
2020-2-7,12.770,12.855,12.850,12.772,120860
2020-2-10,12.885,13.025,13.000,12.890,119590
2020-2-11,13.110,13.150,13.175,13.110,136740
2020-2-12,13.100,13.160,13.130,13.100,114200
2020-2-13,13.285,13.175,13.280,13.130,117630
2020-2-14,13.015,13.150,13.145,13.015,68620
2020-2-17,13.110,13.130,13.125,13.080,73170
2020-2-18,12.820,13.000,12.970,12.820,78830
2020-2-19,12.830,12.810,12.830,12.725,62660
2020-2-20,12.670,12.805,12.800,12.675,60450
2020-2-21,12.530,12.530,12.575,12.530,91870
2020-2-24,12.430,12.500,12.470,12.405,68200
2020-2-25,12.450,12.625,12.600,12.450,61190
2020-2-26,12.550,12.355,12.550,12.355,72080
2020-2-27,12.375,12.430,12.385,12.325,70140
2020-2-28,12.255,12.275,12.373,12.180,95600
2020-3-2,12.700,12.530,12.700,12.505,97790
2020-3-3,12.560,12.675,12.750,12.565,89950
2020-3-4,12.680,12.805,12.800,12.630,111790
2020-3-5,12.890,12.850,12.890,12.815,118850
2020-3-6,12.840,12.810,12.840,12.725,104370
2020-3-9,12.650,12.500,12.645,12.465,111190
2020-3-10,12.680,12.945,12.870,12.680,115750
2020-3-11,12.420,12.500,12.480,12.400,122320
2020-3-12,11.830,11.925,11.890,11.830,122700
2020-3-13,12.320,12.625,12.610,12.150,130300
2020-3-16,11.935,11.850,12.000,11.810,136650
2020-3-17,11.780,11.940,12.120,11.780,99480
2020-3-18,11.395,11.550,11.520,11.330,142850
2020-3-19,11.250,11.400,11.335,11.255,135840
2020-3-20,11.225,11.500,11.499,11.230,91100
2020-3-23,10.880,11.125,11.280,10.868,57980
2020-3-24,11.258,11.178,11.293,10.980,134910
2020-3-25,11.289,11.385,11.385,11.103,64320
2020-3-26,11.211,11.303,11.323,11.113,78660
2020-3-27,11.355,11.268,11.420,11.225,68520
2020-3-30,11.320,11.373,11.453,11.263,59820
2020-3-31,11.484,11.340,11.495,11.233,59820
2020-4-1,11.261,11.440,11.440,11.235,54710
2020-4-2,11.313,11.265,11.353,10.963,55310
2020-4-3,11.239,11.323,11.353,11.205,60730
2020-4-6,11.289,11.235,11.313,11.208,56300
2020-4-7,11.471,11.325,11.510,11.303,97850
2020-4-8,11.507,11.408,11.583,11.335,109010
2020-4-9,11.672,11.533,11.703,11.478,100350
2020-4-14,11.889,11.718,11.908,11.715,119160
2020-4-15,11.773,11.858,11.998,11.748,63360
2020-4-16,11.764,11.780,11.798,11.623,46210
2020-4-17,12.042,11.805,12.068,11.788,52020
2020-4-20,12.514,12.043,12.535,11.920,58500
2020-4-21,12.197,12.465,12.495,12.135,71140
2020-4-22,12.015,12.190,12.223,11.778,60400
2020-4-23,12.169,11.933,12.240,11.883,51560
2020-4-24,12.246,12.170,12.313,12.048,56350
2020-4-27,12.244,12.258,12.593,12.158,44470
2020-4-28,12.294,12.258,12.440,12.093,50220
2020-4-29,12.315,12.330,12.375,12.185,41310
2020-4-30,12.192,12.330,12.355,12.133,46900
2020-5-1,11.955,12.110,12.195,11.833,45600
2020-5-4,11.812,11.885,11.958,11.803,49620
2020-5-5,12.002,11.838,12.048,11.803,58950
2020-5-6,12.303,12.050,12.333,11.875,64170
2020-5-7,12.330,12.333,12.398,12.168,79310
2020-5-11,12.354,12.378,12.498,12.223,77310
2020-5-12,12.324,12.378,12.475,12.235,63430
2020-5-13,12.254,12.265,12.358,12.135,64040
2020-5-14,12.072,12.243,12.315,11.963,56110
2020-5-15,11.855,12.110,12.110,11.823,70760
2020-5-18,12.250,11.870,12.268,11.838,69760
2020-5-19,12.453,12.295,12.478,12.230,62220
2020-5-20,12.667,12.433,12.705,12.383,54970
2020-5-21,12.778,12.658,12.908,12.408,53300
2020-5-22,12.250,12.430,12.653,12.108,65620
2020-5-26,12.341,12.195,12.413,12.195,62810
2020-5-27,12.116,12.328,12.338,12.093,59130
2020-5-28,12.246,12.170,12.308,12.130,41190
2020-5-29,12.324,12.208,12.383,12.138,44570
2020-6-1,12.626,12.410,12.678,12.403,67000
2020-6-2,12.853,12.580,12.883,12.543,72830
2020-6-3,12.867,12.868,12.923,12.670,61970
2020-6-4,12.773,12.805,12.843,12.538,68740
2020-6-5,12.991,12.778,13.013,12.745,71430
2020-6-8,13.064,12.943,13.118,12.868,86100
2020-6-9,12.913,13.040,13.095,12.725,87000
2020-6-10,13.007,12.878,13.063,12.808,77620
2020-6-11,12.656,13.018,13.045,12.603,74680
2020-6-12,12.665,12.660,12.828,12.535,69070
2020-6-15,12.741,12.703,12.868,12.468,73180
2020-6-16,13.024,12.888,13.033,12.840,81070
2020-6-17,12.871,13.010,13.038,12.813,65420
2020-6-18,12.894,12.865,12.953,12.763,45270
2020-6-19,12.769,12.905,13.018,12.723,52730
2020-6-22,12.647,12.755,12.818,12.623,44310
2020-6-23,12.721,12.645,12.743,12.528,54360
2020-6-24,12.547,12.685,12.750,12.508,48400
2020-6-25,12.440,12.520,12.558,12.428,48620
2020-6-26,12.684,12.490,12.808,12.490,47140
2020-6-29,12.806,12.695,12.830,12.565,51570
2020-6-30,12.805,12.813,12.880,12.733,48410
2020-7-1,12.847,12.815,12.878,12.608,61890
2020-7-2,12.947,12.860,12.965,12.783,40260
2020-7-3,12.996,12.928,13.128,12.908,19450
2020-7-6,13.336,12.955,13.398,12.955,23060
2020-7-7,13.469,13.375,13.483,13.260,20120
2020-7-8,13.493,13.383,13.498,13.348,12450
