date,close,open,high,low,volume
2019-10-1,5.686,5.640,5.686,5.601,257720
2019-10-2,5.678,5.662,5.702,5.662,202320
2019-10-3,5.662,5.657,5.665,5.655,191830
2019-10-4,5.643,5.640,5.643,5.634,159590
2019-10-7,5.722,5.669,5.722,5.669,182430
2019-10-8,5.676,5.695,5.688,5.676,251790
2019-10-9,5.684,5.696,5.691,5.680,231310
2019-10-10,5.781,5.740,5.781,5.731,219910
2019-10-11,5.796,5.808,5.797,5.796,265430
2019-10-14,5.818,5.763,5.818,5.755,187990
2019-10-15,5.773,5.785,5.780,5.773,153470
2019-10-16,5.730,5.710,5.730,5.709,149300
2019-10-17,5.739,5.765,5.778,5.740,101770
2019-10-18,5.806,5.775,5.807,5.775,137550
2019-10-21,5.828,5.850,5.848,5.829,107450
2019-10-22,5.818,5.830,5.831,5.818,125740
2019-10-23,5.881,5.810,5.882,5.801,151160
2019-10-24,5.880,5.895,5.886,5.877,138500
2019-10-25,5.925,5.890,5.925,5.886,95250
2019-10-28,5.908,5.920,5.909,5.908,93290
2019-10-29,5.928,5.905,5.927,5.902,131600
2019-10-30,5.908,5.916,5.919,5.908,125350
2019-10-31,5.797,5.846,5.849,5.798,202430
2019-11-1,5.850,5.820,5.850,5.819,135930
2019-11-4,5.877,5.875,5.887,5.874,111970
2019-11-5,5.940,5.912,5.940,5.912,268450
2019-11-6,5.907,5.945,5.935,5.908,148320
2019-11-7,5.974,5.950,5.978,5.949,178060
2019-11-8,5.924,5.975,5.965,5.924,153830
2019-11-11,5.879,5.885,5.897,5.877,123740
2019-11-12,5.869,5.865,5.871,5.860,129970
2019-11-13,5.835,5.850,5.850,5.833,127890
2019-11-14,5.812,5.860,5.854,5.810,126280
2019-11-15,5.849,5.840,5.850,5.835,112500
2019-11-18,5.830,5.847,5.850,5.830,146040
2019-11-19,5.875,5.850,5.875,5.843,154120
2019-11-20,5.875,5.900,5.895,5.875,132840
2019-11-21,5.829,5.840,5.833,5.829,110900
2019-11-22,5.855,5.858,5.854,5.851,122030
2019-11-25,5.868,5.900,5.890,5.865,104050
2019-11-26,5.924,5.881,5.922,5.872,128830
2019-11-27,5.945,5.955,5.952,5.941,89970
2019-11-28,5.892,5.910,5.903,5.892,78070
2019-11-29,5.864,5.885,5.876,5.863,117520
2019-12-2,5.883,5.880,5.883,5.868,137940
2019-12-3,5.815,5.840,5.838,5.812,143300
2019-12-4,5.885,5.855,5.886,5.850,133250
2019-12-5,5.888,5.890,5.887,5.879,108090
2019-12-6,5.990,5.905,5.990,5.900,141360
2019-12-9,6.075,6.025,6.075,6.012,164030
2019-12-10,6.100,6.095,6.100,6.085,146760
2019-12-11,6.156,6.111,6.155,6.108,143670
2019-12-12,6.156,6.125,6.163,6.119,166740
2019-12-13,6.130,6.185,6.185,6.119,165910
2019-12-16,6.199,6.175,6.200,6.163,171990
2019-12-17,6.200,6.200,6.199,6.195,190340
2019-12-18,6.175,6.170,6.172,6.161,134110
2019-12-19,6.215,6.190,6.215,6.185,105750
2019-12-20,6.175,6.190,6.185,6.174,103370
2019-12-23,6.190,6.184,6.188,6.171,82330
2019-12-24,6.215,6.222,6.213,6.211,73180
2019-12-27,6.214,6.240,6.239,6.212,83510
2019-12-30,6.219,6.220,6.219,6.215,84230
2019-12-31,6.174,6.190,6.182,6.174,109170
2020-1-2,6.188,6.195,6.190,6.172,125590
2020-1-3,6.130,6.110,6.145,6.105,123230
2020-1-6,6.139,6.120,6.139,6.119,134010
2020-1-7,6.149,6.160,6.157,6.141,121800
2020-1-8,6.178,6.180,6.180,6.174,145940
2020-1-9,6.180,6.190,6.200,6.180,153300
2020-1-10,6.198,6.185,6.197,6.178,142720
2020-1-13,6.290,6.205,6.290,6.200,241250
2020-1-14,6.302,6.285,6.308,6.280,151720
2020-1-15,6.287,6.270,6.287,6.270,112560
2020-1-16,6.278,6.330,6.326,6.278,138040
2020-1-17,6.273,6.315,6.315,6.263,74750
2020-1-20,6.259,6.275,6.270,6.259,70920
2020-1-21,6.160,6.184,6.184,6.160,132030
2020-1-22,6.106,6.144,6.142,6.106,140770
2020-1-23,5.987,6.088,6.081,5.987,130200
2020-1-24,5.926,6.002,5.997,5.925,166680
2020-1-27,5.743,5.815,5.811,5.743,130490
2020-1-28,5.703,5.746,5.745,5.703,143770
2020-1-29,5.641,5.719,5.728,5.641,120060
2020-1-30,5.588,5.635,5.634,5.586,143560
2020-1-31,5.567,5.595,5.587,5.542,171860
2020-2-3,5.525,5.605,5.602,5.523,205780
2020-2-4,5.618,5.675,5.672,5.610,233810
2020-2-5,5.722,5.735,5.730,5.711,156030
2020-2-6,5.735,5.745,5.759,5.736,159850
2020-2-7,5.663,5.680,5.670,5.660,158110
2020-2-10,5.667,5.675,5.667,5.647,144870
2020-2-11,5.745,5.720,5.767,5.714,155680
2020-2-12,5.764,5.770,5.764,5.760,138540
2020-2-13,5.790,5.740,5.797,5.740,146670
2020-2-14,5.760,5.755,5.760,5.751,117580
