date,close,open,high,low,volume
2019-10-1,2.096,2.130,2.122,2.096,98220
2019-10-2,2.100,2.095,2.110,2.090,66660
2019-10-3,2.129,2.108,2.130,2.106,46370
2019-10-4,2.160,2.149,2.159,2.143,54880
2019-10-7,2.189,2.181,2.189,2.181,98470
2019-10-8,2.145,2.185,2.184,2.135,107660
2019-10-9,2.130,2.132,2.132,2.126,87380
2019-10-10,2.159,2.167,2.166,2.160,118340
2019-10-11,2.182,2.187,2.194,2.180,97970
2019-10-14,2.131,2.140,2.136,2.131,53400
2019-10-15,2.149,2.150,2.149,2.130,58860
2019-10-16,2.160,2.159,2.169,2.159,68330
2019-10-17,2.189,2.180,2.189,2.176,57750
2019-10-18,2.181,2.200,2.203,2.181,44550
2019-10-21,2.211,2.185,2.211,2.185,39950
2019-10-22,2.218,2.225,2.218,2.212,51160
2019-10-23,2.224,2.218,2.224,2.210,39140
2019-10-24,2.226,2.229,2.229,2.224,50520
2019-10-25,2.224,2.234,2.238,2.223,53050
2019-10-28,2.236,2.215,2.236,2.208,44370
2019-10-29,2.265,2.245,2.265,2.241,45140
2019-10-30,2.208,2.235,2.232,2.208,53750
2019-10-31,2.158,2.192,2.191,2.158,52630
2019-11-1,2.163,2.165,2.164,2.164,41210
2019-11-4,2.162,2.168,2.168,2.162,51880
2019-11-5,2.151,2.168,2.164,2.151,47220
2019-11-6,2.118,2.132,2.130,2.115,64800
2019-11-7,2.113,2.106,2.113,2.099,64380
2019-11-8,2.107,2.092,2.106,2.090,52770
2019-11-11,2.090,2.109,2.110,2.090,53160
2019-11-12,2.059,2.084,2.087,2.058,59920
2019-11-13,2.035,2.040,2.036,2.033,60200
2019-11-14,2.017,2.025,2.027,2.017,51990
2019-11-15,1.997,2.010,2.008,1.998,63740
2019-11-18,1.954,1.992,1.989,1.953,67660
2019-11-19,1.993,1.978,1.993,1.978,66520
2019-11-20,1.987,2.003,2.000,1.980,40710
2019-11-21,1.958,1.983,1.982,1.958,37080
2019-11-22,1.966,1.966,1.967,1.966,35230
2019-11-25,1.935,1.957,1.957,1.935,40300
2019-11-26,1.943,1.921,1.943,1.921,47990
2019-11-27,1.943,1.960,1.959,1.944,27150
2019-11-28,1.945,1.935,1.944,1.935,25830
2019-11-29,1.937,1.959,1.959,1.937,37560
2019-12-2,1.906,1.926,1.925,1.901,56580
2019-12-3,1.900,1.900,1.910,1.898,50430
2019-12-4,1.922,1.919,1.922,1.917,53240
2019-12-5,1.905,1.907,1.912,1.902,37670
2019-12-6,1.892,1.903,1.897,1.891,62040
2019-12-9,1.893,1.880,1.893,1.880,59020
2019-12-10,1.907,1.910,1.907,1.900,58890
2019-12-11,1.937,1.920,1.937,1.917,44730
2019-12-12,1.938,1.934,1.938,1.932,54180
2019-12-13,1.910,1.955,1.953,1.911,48530
2019-12-16,1.888,1.899,1.899,1.888,47550
2019-12-17,1.888,1.893,1.899,1.888,41730
2019-12-18,1.926,1.892,1.926,1.892,40240
2019-12-19,1.919,1.924,1.920,1.914,36920
2019-12-20,1.939,1.930,1.938,1.928,28620
2019-12-23,1.916,1.920,1.917,1.916,24600
2019-12-24,1.947,1.930,1.947,1.923,25620
2019-12-27,1.939,1.930,1.939,1.925,29050
2019-12-30,1.942,1.942,1.943,1.942,32920
2019-12-31,1.927,1.937,1.936,1.918,32220
2020-1-2,1.919,1.916,1.919,1.903,44520
2020-1-3,1.919,1.904,1.920,1.903,42880
2020-1-6,1.920,1.915,1.921,1.910,43080
2020-1-7,1.906,1.926,1.923,1.906,49490
2020-1-8,1.901,1.930,1.925,1.902,69580
2020-1-9,1.929,1.912,1.933,1.912,62170
2020-1-10,1.932,1.942,1.945,1.932,58170
2020-1-13,1.916,1.915,1.915,1.907,80760
2020-1-14,1.948,1.915,1.948,1.914,70280
2020-1-15,1.999,1.967,1.999,1.964,73200
2020-1-16,2.002,2.030,2.026,2.002,63080
2020-1-17,1.976,1.980,1.977,1.977,40730
2020-1-20,1.961,1.995,1.989,1.961,33310
2020-1-21,1.961,1.967,1.963,1.959,41560
2020-1-22,1.986,1.970,1.986,1.967,52100
2020-1-23,1.967,1.988,1.986,1.967,35240
2020-1-24,1.940,1.950,1.948,1.938,35070
2020-1-27,1.892,1.885,1.892,1.880,48320
2020-1-28,1.890,1.905,1.911,1.890,43450
2020-1-29,1.834,1.884,1.880,1.834,53420
2020-1-30,1.825,1.827,1.825,1.817,42320
2020-1-31,1.879,1.850,1.879,1.841,45350
2020-2-3,1.825,1.862,1.858,1.825,51890
2020-2-4,1.825,1.855,1.848,1.825,44400
2020-2-5,1.820,1.840,1.835,1.820,39500
2020-2-6,1.844,1.830,1.852,1.830,43030
2020-2-7,1.817,1.826,1.824,1.816,58750
2020-2-10,1.796,1.808,1.806,1.796,52400
2020-2-11,1.850,1.813,1.850,1.808,81080
2020-2-12,1.854,1.855,1.854,1.844,57200
2020-2-13,1.892,1.869,1.892,1.864,49800
2020-2-14,1.873,1.865,1.873,1.853,38070
2020-2-17,1.873,1.888,1.888,1.869,50690
2020-2-18,1.898,1.855,1.898,1.847,60290
2020-2-19,1.883,1.885,1.883,1.857,53520
2020-2-20,1.868,1.865,1.885,1.863,52210
2020-2-21,1.831,1.840,1.838,1.830,62810
2020-2-24,1.820,1.822,1.820,1.819,41420
2020-2-25,1.858,1.846,1.858,1.846,44240
2020-2-26,1.817,1.840,1.841,1.813,45560
2020-2-27,1.809,1.828,1.826,1.806,39960
2020-2-28,1.848,1.818,1.848,1.800,59810
2020-3-2,1.847,1.870,1.865,1.845,55310
2020-3-3,1.842,1.853,1.848,1.838,44230
2020-3-4,1.820,1.840,1.840,1.816,44000
2020-3-5,1.835,1.825,1.835,1.821,42010
2020-3-6,1.853,1.840,1.853,1.831,51620
2020-3-9,1.799,1.818,1.813,1.799,47320
2020-3-10,1.795,1.838,1.835,1.796,67480
2020-3-11,1.765,1.799,1.796,1.766,76770
2020-3-12,1.773,1.752,1.774,1.745,65800
2020-3-13,1.744,1.790,1.785,1.745,61680
2020-3-16,1.727,1.717,1.727,1.697,70380
2020-3-17,1.619,1.710,1.709,1.620,78760
2020-3-18,1.680,1.633,1.680,1.630,76180
2020-3-19,1.626,1.680,1.674,1.626,56640
2020-3-20,1.659,1.687,1.685,1.648,50300
2020-3-23,1.614,1.632,1.649,1.581,45090
2020-3-24,1.586,1.624,1.648,1.582,32210
2020-3-25,1.645,1.611,1.649,1.584,42600
2020-3-26,1.685,1.647,1.698,1.636,39500
2020-3-27,1.705,1.686,1.735,1.686,40550
2020-3-30,1.704,1.686,1.715,1.665,36420
2020-3-31,1.742,1.707,1.753,1.705,38670
2020-4-1,1.720,1.743,1.743,1.690,36620
2020-4-2,1.699,1.705,1.724,1.686,33400
2020-4-3,1.657,1.697,1.707,1.649,29430
2020-4-6,1.674,1.665,1.683,1.639,29950
2020-4-7,1.737,1.680,1.740,1.678,39170
2020-4-8,1.719,1.723,1.733,1.711,44140
